                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96694,                0.86607,                 1.0241,                0.19968,                      1,                0.22838,                0.14764,                 1.2524,                 4.4013,                 1.3564,               0.003268,               0.003268,               0.003268
                     36,                0.96099,                0.87463,                 1.0212,                 0.2274,                0.94444,                0.23517,                0.14804,                 1.3267,                 5.2785,                 1.4016,                0.00307,                0.00307,                0.00307
                     37,                0.94483,                0.81157,                 1.0115,                0.20219,                0.98502,                0.23953,                0.15125,                 1.3205,                 4.0681,                 1.4508,               0.002872,               0.002872,               0.002872
                     38,                 0.9323,                0.82409,                  1.018,                0.19795,                      1,                0.25768,                0.17127,                 1.2578,                 4.4895,                 1.4204,               0.002674,               0.002674,               0.002674
                     39,                0.90419,                0.78053,                 0.9953,                0.21368,                0.88889,                0.24446,                0.16732,                 1.1736,                 4.3187,                 1.3107,               0.002476,               0.002476,               0.002476
                     40,                0.87958,                0.80552,                 1.0103,                0.24088,                0.88889,                0.28951,                0.19079,                 1.1765,                  3.916,                 1.3729,               0.002278,               0.002278,               0.002278
                     41,                0.87552,                0.79534,                 1.0151,                0.21589,                      1,                0.28356,                0.19561,                 1.1075,                 4.2231,                 1.3067,                0.00208,                0.00208,                0.00208
                     42,                0.84674,                0.74454,                0.99985,                0.22403,                0.82847,                 0.3141,                0.22625,                 1.1605,                 4.6719,                 1.3369,               0.001882,               0.001882,               0.001882
                     43,                0.83914,                0.75841,                0.98428,                0.20863,                      1,                0.28441,                0.19192,                 1.1939,                 4.4617,                 1.3496,               0.001684,               0.001684,               0.001684
                     44,                0.83633,                 0.7432,                0.96865,                0.19162,                0.94444,                0.24933,                0.17659,                 1.1843,                 5.3017,                 1.3381,               0.001486,               0.001486,               0.001486
                     45,                0.80591,                0.69977,                0.96665,                0.20463,                0.98568,                0.27458,                0.19017,                 1.1486,                 4.6429,                 1.3209,               0.001288,               0.001288,               0.001288
                     46,                0.80517,                0.71037,                0.96823,                0.21358,                      1,                0.31504,                0.22205,                 1.1323,                 4.7337,                 1.2896,                0.00109,                0.00109,                0.00109
                     47,                0.79786,                0.69496,                0.95032,                0.20411,                0.89672,                0.26843,                0.17283,                 1.1442,                 4.3033,                   1.32,               0.000892,               0.000892,               0.000892
                     48,                0.79757,                0.68366,                0.95439,                0.23415,                      1,                0.25126,                0.17171,                  1.143,                 4.6789,                 1.3098,               0.000694,               0.000694,               0.000694
                     49,                0.77808,                0.69115,                0.97131,                0.23264,                0.97721,                0.26564,                0.18942,                 1.0378,                 4.6467,                 1.2678,               0.000496,               0.000496,               0.000496
